Month of Period End,Region,Avg. Median Sale Price
Jan-15,"San Francisco, CA metro area",$925K
Feb-15,"San Francisco, CA metro area","$1,050K"
Mar-15,"San Francisco, CA metro area","$1,100K"
Apr-15,"San Francisco, CA metro area","$1,115K"
May-15,"San Francisco, CA metro area","$1,195K"
Jun-15,"San Francisco, CA metro area","$1,139K"
Jul-15,"San Francisco, CA metro area","$1,145K"
Aug-15,"San Francisco, CA metro area","$1,113K"
Sep-15,"San Francisco, CA metro area","$1,088K"
Oct-15,"San Francisco, CA metro area","$1,148K"
Nov-15,"San Francisco, CA metro area","$1,149K"
Dec-15,"San Francisco, CA metro area","$1,080K"
Jan-16,"San Francisco, CA metro area","$1,050K"
Feb-16,"San Francisco, CA metro area","$1,108K"
Mar-16,"San Francisco, CA metro area","$1,100K"
Apr-16,"San Francisco, CA metro area","$1,205K"
May-16,"San Francisco, CA metro area","$1,214K"
Jun-16,"San Francisco, CA metro area","$1,200K"
Jul-16,"San Francisco, CA metro area","$1,185K"
Aug-16,"San Francisco, CA metro area","$1,150K"
Sep-16,"San Francisco, CA metro area","$1,121K"
Oct-16,"San Francisco, CA metro area","$1,223K"
Nov-16,"San Francisco, CA metro area","$1,142K"
Dec-16,"San Francisco, CA metro area","$1,146K"
Jan-17,"San Francisco, CA metro area","$1,050K"
Feb-17,"San Francisco, CA metro area","$1,210K"
Mar-17,"San Francisco, CA metro area","$1,200K"
Apr-17,"San Francisco, CA metro area","$1,275K"
May-17,"San Francisco, CA metro area","$1,300K"
Jun-17,"San Francisco, CA metro area","$1,285K"
Jul-17,"San Francisco, CA metro area","$1,263K"
Aug-17,"San Francisco, CA metro area","$1,250K"
Sep-17,"San Francisco, CA metro area","$1,230K"
Oct-17,"San Francisco, CA metro area","$1,292K"
Nov-17,"San Francisco, CA metro area","$1,325K"
Dec-17,"San Francisco, CA metro area","$1,325K"
Jan-18,"San Francisco, CA metro area","$1,300K"
Feb-18,"San Francisco, CA metro area","$1,378K"
Mar-18,"San Francisco, CA metro area","$1,400K"
